COU,Country,MEAS,Measure,SMALL_SUBNATIONAL_REGION,Small subnational region,VAR,Variable,YEA,Year,Unit Code,Unit,Value
GBR_W,United Kingdom unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,15.69725886
GBR_W,United Kingdom unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,16.22136023
NLD_W,Netherlands unspecified,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,821.3832
NLD_W,Netherlands unspecified,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,1372.2741
NLD_W,Netherlands unspecified,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,680.3568
NLD_W,Netherlands unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,23.48807643
NLD_W,Netherlands unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,39.2412201
NLD_W,Netherlands unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,12.75681356
NZL_W,New Zealand unspecified,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,137.6856
NZL_W,New Zealand unspecified,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,253.593
NZL_W,New Zealand unspecified,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,0
NZL_W,New Zealand unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,14.87692193
NZL_W,New Zealand unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,27.40071047
NZL_W,New Zealand unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,10.90191863
NZL_W,New Zealand unspecified,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,0
LAC,Latin America and Caribbean,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,KM2,Square kilometres,11004.6492
LAC,Latin America and Caribbean,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,KM2,Square kilometres,19010.5308
LAC,Latin America and Caribbean,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,8005.8816
LAC,Latin America and Caribbean,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,8060.1003
LAC,Latin America and Caribbean,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,31.19101458
LAC,Latin America and Caribbean,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,53.88247572
LAC,Latin America and Caribbean,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,17.29650557
MENA,Middle East and North Africa,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,KM2,Square kilometres,4271.9535
MENA,Middle East and North Africa,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,2000,PC,Percentage,28.18965088
MENA,Middle East and North Africa,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,2014,PC,Percentage,51.6243934
MENA,Middle East and North Africa,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,18.28130615
MENA,Middle East and North Africa,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,47.01863221
AUS,Australia,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,11.6447174
AUT,Austria,SQKM,Square kilometers,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,KM2,Square kilometres,354.7593
BEL,Belgium,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,2014,PC,Percentage,11.11226702
BEL,Belgium,PCNT_FROM_YEAR,Percent of built-up area in the from-year,TOTAL,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,1990,PC,Percentage,23.98874731
